source,cites,rank,T_nucleus,I_nucleus,F_nucleus
neutrosophic sets and systems,1047,1,0.877,0.169,0.0
neutrosophic computing and machine learning,1000,2,0.854,0.2,0.0
universidad y sociedad,722,3,0.641,0.371,0.0
serie cientifica de la universidad de las ciencias informaticas,608,4,0.523,0.399,0.077
revista conrado,586,5,0.5,0.4,0.1
conrado,327,6,0.249,0.305,0.446
international journal of neutrosophic science,207,7,0.166,0.224,0.611
revista de ciencias medicas de pinar del rio,151,8,0.135,0.186,0.679
revista cubana de ciencias informaticas,149,9,0.134,0.185,0.681
revista cubana de informatica medica,127,10,0.124,0.171,0.706
education,108,11,0.115,0.159,0.726
ieee transactions on fuzzy systems,105,12,0.114,0.157,0.729
revista cientifica arbitrada multidisciplinaria pentaciencias,94,13,0.109,0.15,0.741
revista investigacion operacional,93,14,0.109,0.15,0.742
revista cientifica ecociencia,90,15,0.108,0.148,0.745
investigacion operacional,87,16,0.106,0.146,0.748
international journal of fuzzy systems,86,17,0.106,0.146,0.749
ingenieria y universidad: engineering for development,80,18,0.104,0.142,0.754
medical diagnosis,78,19,0.103,0.141,0.756
applied soft computing,72,20,0.1,0.137,0.762
ingenieria y universidad,72,21,0.1,0.137,0.762
ingenieria industrial,70,22,0.1,0.136,0.764
revista de la facultad de ciencias medicas de la universidad de guayaquil,68,23,0.099,0.135,0.766
information sciences,63,24,0.097,0.132,0.771
revista mexicana de economia y finanzas nueva epoca remef,62,25,0.097,0.132,0.772
anales de la real academia de doctores,61,26,0.096,0.131,0.773
politica y valore,60,27,0.096,0.131,0.773
revista asociacion latinoamericana de ciencias neutrosoficas. issn 2574-1101,59,28,0.095,0.13,0.774
drought management fuzzy cognitive maps,56,29,0.094,0.128,0.777
ingenieria,56,30,0.094,0.128,0.777
