topic,n_docs,T_mean,I_mean,F_mean
0,38,0.441,0.205,0.356
1,19,0.789,0.03,0.181
2,29,0.505,0.148,0.347
3,27,0.646,0.187,0.167
4,46,0.48,0.165,0.356
5,17,0.195,0.238,0.568
6,16,0.67,0.135,0.197
7,47,0.527,0.024,0.448
8,9,0.821,0.055,0.124
9,39,0.518,0.092,0.39
10,26,0.682,0.117,0.2
11,22,0.684,0.082,0.234
12,35,0.703,0.065,0.232
13,26,0.657,0.039,0.304
14,57,0.517,0.107,0.376
15,22,0.736,0.208,0.085
16,32,0.634,0.03,0.336
17,38,0.34,0.28,0.38
18,20,0.636,0.149,0.215
19,11,0.641,0.078,0.281
20,29,0.677,0.18,0.144
21,24,0.528,0.133,0.339
22,42,0.637,0.086,0.276
23,35,0.635,0.261,0.15
